platform_id	platform_name	os	version	uv	hp_cal_dt
2	主APP	ios	1.0.0	1	2016-12-10 
2	主APP	ios	1.0.3	0	2016-12-10 
2	主APP	ios	1.1.0	33	2016-12-10 
2	主APP	ios	2.2.0	0	2016-12-10 
2	主APP	ios	3.0.0	0	2016-12-10 
2	主APP	ios	3.1.0	0	2016-12-10 
2	主APP	ios	3.1.1	1	2016-12-10 
2	主APP	ios	4.0.0	0	2016-12-10 
2	主APP	ios	4.1.0	2	2016-12-10 
2	主APP	ios	4.1.2	2	2016-12-10 
2	主APP	ios	4.2.0	2	2016-12-10 
2	主APP	ios	4.3.0	1	2016-12-10 
2	主APP	ios	4.5.0	1	2016-12-10 
2	主APP	ios	4.6.0	1	2016-12-10 
2	主APP	ios	4.6.1	3	2016-12-10 
2	主APP	ios	4.7.0	1	2016-12-10 
2	主APP	ios	4.7.1	2	2016-12-10 
2	主APP	ios	4.8.0	2	2016-12-10 
2	主APP	ios	4.8.1	5	2016-12-10 
2	主APP	ios	4.8.2	3	2016-12-10 
2	主APP	ios	4.9.0	6	2016-12-10 
2	主APP	ios	4.9.10	0	2016-12-10 
2	主APP	ios	4.9.11	0	2016-12-10 
2	主APP	ios	4.9.12	0	2016-12-10 
2	主APP	ios	5.0.0	8	2016-12-10 
2	主APP	ios	5.1.0	3	2016-12-10 
2	主APP	ios	5.2.0	8	2016-12-10 
2	主APP	ios	5.2.1	0	2016-12-10 
2	主APP	ios	5.3.0	1	2016-12-10 
2	主APP	ios	5.3.1	18	2016-12-10 
2	主APP	ios	5.4.0	19	2016-12-10 
2	主APP	ios	5.4.5	11	2016-12-10 
2	主APP	ios	5.5.0	10	2016-12-10 
2	主APP	ios	5.5.1	13	2016-12-10 
2	主APP	ios	5.6.0	16	2016-12-10 
2	主APP	ios	5.7.0	28	2016-12-10 
2	主APP	ios	5.8.1	10	2016-12-10 
2	主APP	ios	5.8.2	18	2016-12-10 
2	主APP	ios	5.9.0	16	2016-12-10 
2	主APP	ios	5.9.5	25	2016-12-10 
2	主APP	ios	6.0.0	0	2016-12-10 
2	主APP	ios	6.0.1	28	2016-12-10 
2	主APP	ios	6.0.2	2	2016-12-10 
2	主APP	ios	6.1.0	61	2016-12-10 
2	主APP	ios	6.2.0	15	2016-12-10 
2	主APP	ios	6.2.1	43	2016-12-10 
2	主APP	ios	6.3.0	102	2016-12-10 
2	主APP	ios	6.4.0	47	2016-12-10 
2	主APP	ios	6.4.1	29	2016-12-10 
2	主APP	ios	6.5.0	64	2016-12-10 
2	主APP	ios	6.5.1	70	2016-12-10 
2	主APP	ios	6.6.0	48	2016-12-10 
2	主APP	ios	6.6.5	111	2016-12-10 
2	主APP	ios	6.7.0	79	2016-12-10 
2	主APP	ios	6.7.5	134	2016-12-10 
2	主APP	ios	6.8.0	112	2016-12-10 
2	主APP	ios	6.8.5	396	2016-12-10 
2	主APP	ios	6.9.0	330	2016-12-10 
2	主APP	ios	6.9.5	657	2016-12-10 
2	主APP	ios	6.9.7	696	2016-12-10 
2	主APP	ios	6.9.8	701	2016-12-10 
2	主APP	ios	7.0.0	299	2016-12-10 
2	主APP	ios	7.0.1	1380	2016-12-10 
2	主APP	ios	7.0.2	896	2016-12-10 
2	主APP	ios	7.1.0	1372	2016-12-10 
2	主APP	ios	7.2.0	1517	2016-12-10 
2	主APP	ios	7.5.0	830	2016-12-10 
2	主APP	ios	7.5.1	2742	2016-12-10 
2	主APP	ios	7.5.3	0	2016-12-10 
2	主APP	ios	7.6.0	4801	2016-12-10 
2	主APP	ios	7.7.0	1335	2016-12-10 
2	主APP	ios	7.8.0	1692	2016-12-10 
2	主APP	ios	7.8.1	1412	2016-12-10 
2	主APP	ios	7.8.2	5433	2016-12-10 
2	主APP	ios	7.9.0	14800	2016-12-10 
2	主APP	ios	7.9.2	21168	2016-12-10 
2	主APP	ios	7.9.4	12975	2016-12-10 
2	主APP	ios	7.9.6	13849	2016-12-10 
2	主APP	ios	7.9.8	16252	2016-12-10 
2	主APP	ios	8.0.0	9696	2016-12-10 
2	主APP	ios	8.0.1	16647	2016-12-10 
2	主APP	ios	8.0.2	14045	2016-12-10 
