platform_id	platform_name	os	version	uv	hp_cal_dt
2	主APP	ios	4.9.10	0	2016-12-24 
2	主APP	ios	4.9.11	0	2016-12-24 
2	主APP	ios	4.9.12	1	2016-12-24 
2	主APP	ios	5.0.0	9	2016-12-24 
2	主APP	ios	5.1.0	6	2016-12-24 
2	主APP	ios	5.2.0	8	2016-12-24 
2	主APP	ios	5.2.1	0	2016-12-24 
2	主APP	ios	5.3.0	0	2016-12-24 
2	主APP	ios	5.3.1	32	2016-12-24 
2	主APP	ios	5.4.0	21	2016-12-24 
2	主APP	ios	5.4.5	20	2016-12-24 
2	主APP	ios	5.5.0	4	2016-12-24 
2	主APP	ios	5.5.1	9	2016-12-24 
2	主APP	ios	5.6.0	10	2016-12-24 
2	主APP	ios	5.7.0	30	2016-12-24 
2	主APP	ios	5.8.1	11	2016-12-24 
2	主APP	ios	5.8.2	14	2016-12-24 
2	主APP	ios	5.9.0	16	2016-12-24 
2	主APP	ios	5.9.5	23	2016-12-24 
2	主APP	ios	6.0.0	0	2016-12-24 
2	主APP	ios	6.0.1	34	2016-12-24 
2	主APP	ios	6.0.2	2	2016-12-24 
2	主APP	ios	6.1.0	42	2016-12-24 
2	主APP	ios	6.2.0	12	2016-12-24 
2	主APP	ios	6.2.1	42	2016-12-24 
2	主APP	ios	6.3.0	86	2016-12-24 
2	主APP	ios	6.4.0	56	2016-12-24 
2	主APP	ios	6.4.1	46	2016-12-24 
2	主APP	ios	6.5.0	46	2016-12-24 
2	主APP	ios	6.5.1	83	2016-12-24 
2	主APP	ios	6.6.0	54	2016-12-24 
2	主APP	ios	6.6.5	110	2016-12-24 
2	主APP	ios	6.7.0	86	2016-12-24 
2	主APP	ios	6.7.5	138	2016-12-24 
2	主APP	ios	6.8.0	110	2016-12-24 
2	主APP	ios	6.8.5	345	2016-12-24 
2	主APP	ios	6.9.0	289	2016-12-24 
2	主APP	ios	6.9.5	691	2016-12-24 
2	主APP	ios	6.9.7	554	2016-12-24 
2	主APP	ios	6.9.8	566	2016-12-24 
2	主APP	ios	7.0.0	241	2016-12-24 
2	主APP	ios	7.0.1	1200	2016-12-24 
2	主APP	ios	7.0.2	790	2016-12-24 
2	主APP	ios	7.1.0	1222	2016-12-24 
2	主APP	ios	7.2.0	1270	2016-12-24 
2	主APP	ios	7.5.0	828	2016-12-24 
2	主APP	ios	7.5.1	2744	2016-12-24 
2	主APP	ios	7.5.3	0	2016-12-24 
2	主APP	ios	7.6.0	4705	2016-12-24 
2	主APP	ios	7.7.0	1345	2016-12-24 
2	主APP	ios	7.8.0	1768	2016-12-24 
2	主APP	ios	7.8.1	1388	2016-12-24 
2	主APP	ios	7.8.2	5562	2016-12-24 
2	主APP	ios	7.9.0	15085	2016-12-24 
